"COD_MUN";"LOG";"LAT";
"22001";"-0,07070538";"42,1213634";
"22002";"0,19783256";"42,2428504";
"22003";"-0,00778658";"42,14589803";
"22004";"-0,7944182";"42,35494981";
"22006";"-0,61987313";"42,67964879";
"22007";"0,14512716";"41,72129514";
"22008";"-0,15067546";"41,73693309";
"22009";"0,46106724";"41,86532533";
"22011";"-0,33683273";"42,05012017";
"22012";"-0,38085369";"42,02477494";
"22013";"-0,21403714";"41,90818369";
"22014";"-0,68683169";"42,06736004";
"22015";"-0,29309585";"42,07761628";
"22016";"0,43199805";"41,90586236";
"22017";"0,11891268";"41,718281";
"22018";"-0,45336179";"41,80686474";
"22019";"-0,46301496";"42,16281363";
"22020";"0,1473625";"41,82877093";
"22021";"-0,58093381";"42,04438111";
"22022";"0,2447946";"41,93566184";
"22023";"-0,41021033";"41,94993824";
"22024";"0,02773606";"42,17235218";
"22025";"0,41430272";"41,80356286";
"22027";"-0,15348143";"42,11133682";
"22028";"-0,82888346";"42,7546632";
"22029";"-0,16479389";"42,03663837";
"22032";"-0,67072675";"42,7064757";
"22035";"0,72091662";"42,25898163";
"22036";"-0,27901269";"42,0535985";
"22037";"-0,43895493";"42,3145506";
"22039";"-0,68918162";"42,2778874";
"22040";"0,31149583";"41,973744";
"22041";"-0,03113699";"42,06909641";
"22042";"-0,04408826";"42,09496108";
"22043";"0,45988805";"41,95343028";
"22044";"-0,81131292";"42,51014762";
"22045";"0,5464509";"41,91823651";
"22046";"0,19100532";"41,62200205";
"22047";"-0,45083389";"42,18038319";
"22048";"0,12246205";"42,03662727";
"22049";"-0,41961819";"41,97986011";
"22050";"-0,08771573";"42,02569204";
"22051";"0,06809502";"42,24229856";
"22052";"0,17837924";"41,68936273";
"22053";"0,48188113";"42,10699352";
"22054";"0,52378621";"42,60496129";
"22055";"-0,00282676";"41,96104308";
"22057";"0,21880551";"42,63479217";
"22058";"-0,08301874";"42,16219193";
"22059";"-0,32447488";"42,6290567";
"22060";"0,20105813";"41,82670647";
"22061";"0,2934451";"41,85299404";
"22062";"0,50755385";"42,49626026";
"22063";"-0,75202053";"42,22848078";
"22064";"-0,18703355";"42,05688103";
"22066";"0,06715744";"42,44600456";
"22067";"0,66783985";"42,42741354";
"22068";"-0,58766242";"42,65892075";
"22069";"-0,12130337";"42,60416358";
"22072";"-0,50088169";"42,39853281";
"22074";"0,39709004";"42,40996604";
"22075";"0,52139896";"41,95858451";
"22076";"-0,85830787";"42,6033843";
"22077";"0,06397647";"41,50337098";
"22078";"-0,52497158";"42,71650151";
"22079";"-0,18498384";"41,84424575";
"22080";"0,39621261";"42,19694511";
"22081";"-0,13942125";"42,15579711";
"22082";"0,16159652";"41,96260477";
"22083";"-0,23978744";"41,61718771";
"22084";"0,49333972";"42,51304184";
"22085";"-0,02147721";"41,80328489";
"22086";"-0,55005751";"42,63166579";
"22087";"0,57893018";"42,20420841";
"22088";"0,06450016";"42,06840629";
"22089";"0,51393592";"41,88454856";
"22090";"0,06341791";"42,17248812";
"22094";"0,16187563";"41,6657571";
"22095";"0,46446526";"42,52185276";
"22096";"-0,45084107";"42,17056738";
"22099";"0,27475507";"41,79839104";
"22102";"0,23348884";"42,07227382";
"22103";"0,24364967";"42,05756948";
"22105";"0,54285027";"41,99596049";
"22106";"-0,86481074";"42,73431268";
"22107";"-0,01930863";"42,58713593";
"22109";"-0,12038129";"42,49581205";
"22110";"0,25757679";"42,01136292";
"22111";"0,35060089";"42,40990009";
"22112";"0,3489743";"41,52221149";
"22113";"0,27252753";"42,37034588";
