"URL";"COD_MUNICIPIO"
"http://opendata.aragon.es/recurso/territorio/Municipio/Ababuj";"44001";
"http://opendata.aragon.es/recurso/territorio/Municipio/Abanto";"50001";
"http://opendata.aragon.es/recurso/territorio/Municipio/Abejuela";"44002";
"http://opendata.aragon.es/recurso/territorio/Municipio/Abiego";"22001";
"http://opendata.aragon.es/recurso/territorio/Municipio/Abizanda";"22002";
"http://opendata.aragon.es/recurso/territorio/Municipio/Acered";"50002";
"http://opendata.aragon.es/recurso/territorio/Municipio/Adahuesca";"22003";
"http://opendata.aragon.es/recurso/territorio/Municipio/Aguarón";"50004";
"http://opendata.aragon.es/recurso/territorio/Municipio/Aguatón";"44003";
"http://opendata.aragon.es/recurso/territorio/Municipio/Aguaviva";"44004";
"http://opendata.aragon.es/recurso/territorio/Municipio/Aguilar_del_Alfambra";"44005";
"http://opendata.aragon.es/recurso/territorio/Municipio/Aguilón";"50005";
"http://opendata.aragon.es/recurso/territorio/Municipio/Agón";"50003";
"http://opendata.aragon.es/recurso/territorio/Municipio/Agüero";"22004";
"http://opendata.aragon.es/recurso/territorio/Municipio/Ainzón";"50006";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alacón";"44006";
"http://opendata.aragon.es/recurso/territorio/Municipio/Aladrén";"50007";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alagón";"50008";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alarba";"50009";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alba";"44007";
"http://opendata.aragon.es/recurso/territorio/Municipio/Albalate_de_Cinca";"22007";
"http://opendata.aragon.es/recurso/territorio/Municipio/Albalate_del_Arzobispo";"44008";
"http://opendata.aragon.es/recurso/territorio/Municipio/Albalatillo";"22008";
"http://opendata.aragon.es/recurso/territorio/Municipio/Albarracín";"44009";
"http://opendata.aragon.es/recurso/territorio/Municipio/Albelda";"22009";
"http://opendata.aragon.es/recurso/territorio/Municipio/Albentosa";"44010";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alberite_de_San_Juan";"50010";
"http://opendata.aragon.es/recurso/territorio/Municipio/Albero_Alto";"22011";
"http://opendata.aragon.es/recurso/territorio/Municipio/Albero_Bajo";"22012";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alberuela_de_Tubo";"22013";
"http://opendata.aragon.es/recurso/territorio/Municipio/Albeta";"50011";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alborge";"50012";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcaine";"44011";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcalá_de_Ebro";"50013";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcalá_de_Gurrea";"22014";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcalá_de_Moncayo";"50014";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcalá_de_la_Selva";"44012";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcalá_del_Obispo";"22015";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcampell";"22016";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcañiz";"44013";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcolea_de_Cinca";"22017";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alconchel_de_Ariza";"50015";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcorisa";"44014";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alcubierre";"22018";
"http://opendata.aragon.es/recurso/territorio/Municipio/Aldehuela_de_Liestos";"50016";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alerre";"22019";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alfajarín";"50017";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alfambra";"44016";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alfamén";"50018";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alforque";"50019";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alfántega";"22020";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alhama_de_Aragón";"50020";
"http://opendata.aragon.es/recurso/territorio/Municipio/Aliaga";"44017";
"http://opendata.aragon.es/recurso/territorio/Municipio/Allepuz";"44021";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alloza";"44022";
"http://opendata.aragon.es/recurso/territorio/Municipio/Allueva";"44023";
"http://opendata.aragon.es/recurso/territorio/Municipio/Almochuel";"50021";
"http://opendata.aragon.es/recurso/territorio/Municipio/Almohaja";"44018";
"http://opendata.aragon.es/recurso/territorio/Municipio/Almolda_(La)";"50022";
"http://opendata.aragon.es/recurso/territorio/Municipio/Almonacid_de_la_Cuba";"50023";
"http://opendata.aragon.es/recurso/territorio/Municipio/Almonacid_de_la_Sierra";"50024";
"http://opendata.aragon.es/recurso/territorio/Municipio/Almudévar";"22021";
"http://opendata.aragon.es/recurso/territorio/Municipio/Almunia_de_Doña_Godina_(La)";"50025";
"http://opendata.aragon.es/recurso/territorio/Municipio/Almunia_de_San_Juan";"22022";
"http://opendata.aragon.es/recurso/territorio/Municipio/Almuniente";"22023";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alobras";"44019";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alpartir";"50026";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alpeñés";"44020";
"http://opendata.aragon.es/recurso/territorio/Municipio/Alquézar";"22024";
"http://opendata.aragon.es/recurso/territorio/Municipio/Altorricón";"22025";
"http://opendata.aragon.es/recurso/territorio/Municipio/Ambel";"50027";
"http://opendata.aragon.es/recurso/territorio/Municipio/Anadón";"44024";
"http://opendata.aragon.es/recurso/territorio/Municipio/Andorra";"44025";
"http://opendata.aragon.es/recurso/territorio/Municipio/Anento";"50028";
"http://opendata.aragon.es/recurso/territorio/Municipio/Angüés";"22027";
"http://opendata.aragon.es/recurso/territorio/Municipio/Aniñón";"50029";
"http://opendata.aragon.es/recurso/territorio/Municipio/Ansó";"22028";
