"NOMBRE";"CODIGO";
"http://opendata.aragon.es/recurso/territorio/Provincia/Huesca";"22";
"http://opendata.aragon.es/recurso/territorio/Provincia/Teruel";"44";
"http://opendata.aragon.es/recurso/territorio/Provincia/Zaragoza";"50";
