"URL";"NOMBRE";
"http://opendata.aragon.es/recurso/territorio/Provincia/Huesca";"HUESCA";
"http://opendata.aragon.es/recurso/territorio/Provincia/Teruel";"TERUEL";
"http://opendata.aragon.es/recurso/territorio/Provincia/Zaragoza";"ZARAGOZA";
