"URL";"DENOMINACION";
"http://opendata.aragon.es/recurso/territorio/Comarca/Alto_Gállego";"ALTO GALLEGO";
"http://opendata.aragon.es/recurso/territorio/Comarca/Andorra-Sierra_de_Arcos";"ANDORRA/SIERRA DE ARCOS";
"http://opendata.aragon.es/recurso/territorio/Comarca/Aranda";"ARANDA";
"http://opendata.aragon.es/recurso/territorio/Comarca/Bajo_Aragón";"BAJO ARAGON"
"http://opendata.aragon.es/recurso/territorio/Comarca/Bajo_Aragón-Caspe/Baix_Aragó-Casp";"BAJO ARAGON-CASPE/BAIX ARAGO-CASP";
"http://opendata.aragon.es/recurso/territorio/Comarca/Bajo_Cinca/Baix_Cinca";"BAJO CINCA/BAIX CINCA";
"http://opendata.aragon.es/recurso/territorio/Comarca/Bajo_Martín";"BAJO MARTIN";
"http://opendata.aragon.es/recurso/territorio/Comarca/Campo_de_Belchite";"CAMPO DE BELCHITE";
"http://opendata.aragon.es/recurso/territorio/Comarca/Campo_de_Borja";"CAMPO DE BORJA";
"http://opendata.aragon.es/recurso/territorio/Comarca/Campo_de_Cariñena";"CAMPO DE CARIÑENA";
"http://opendata.aragon.es/recurso/territorio/Comarca/Campo_de_Daroca";"CAMPO DE DAROCA";
"http://opendata.aragon.es/recurso/territorio/Comarca/Cinca_Medio";"CINCA MEDIO";
"http://opendata.aragon.es/recurso/territorio/Comarca/Cinco_Villas";"CINCO VILLAS";
"http://opendata.aragon.es/recurso/territorio/Comarca/Comunidad_de_Calatayud";"COMUNIDAD DE CALATAYUD";
"http://opendata.aragon.es/recurso/territorio/Comarca/Comunidad_de_Teruel";"COMUNIDAD DE TERUEL";
"http://opendata.aragon.es/recurso/territorio/Comarca/Cuencas_Mineras";"CUENCAS MINERAS";
"http://opendata.aragon.es/recurso/territorio/Comarca/D.C._Zaragoza";"ZARAGOZA";
"http://opendata.aragon.es/recurso/territorio/Comarca/Gúdar-Javalambre";"GUDAR-JAVALAMBRE";
"http://opendata.aragon.es/recurso/territorio/Comarca/Hoya_de_Huesca/Plana_de_Uesca";"HOYA DE HUESCA/PLANA DE UESCA";
"http://opendata.aragon.es/recurso/territorio/Comarca/Jiloca";"JILOCA";
"http://opendata.aragon.es/recurso/territorio/Comarca/La_Jacetania";"LA JACETANIA";
"http://opendata.aragon.es/recurso/territorio/Comarca/La_Litera/La_Llitera";"LA LITERA/LA LLITERA";
"http://opendata.aragon.es/recurso/territorio/Comarca/La_Ribagorza";"LA RIBAGORZA";
"http://opendata.aragon.es/recurso/territorio/Comarca/Los_Monegros";"LOS MONEGROS";
"http://opendata.aragon.es/recurso/territorio/Comarca/Maestrazgo";"MAESTRAZGO";
"http://opendata.aragon.es/recurso/territorio/Comarca/Matarraña/Matarranya";"MATARRAÑA/MATARRANYA";
"http://opendata.aragon.es/recurso/territorio/Comarca/Ribera_Alta_del_Ebro";"RIBERA ALTA DEL EBRO";
"http://opendata.aragon.es/recurso/territorio/Comarca/Ribera_Baja_del_Ebro";"RIBERA BAJA DEL EBRO";
"http://opendata.aragon.es/recurso/territorio/Comarca/Sierra_de_Albarracín";"SIERRA DE ALBARRACIN";
"http://opendata.aragon.es/recurso/territorio/Comarca/Sobrarbe";"SOBRARBE";
"http://opendata.aragon.es/recurso/territorio/Comarca/Somontano_de_Barbastro";"SOMONTANO DE BARBASTRO";
"http://opendata.aragon.es/recurso/territorio/Comarca/Tarazona_y_el_Moncayo";"TARAZONA Y EL MONCAYO";
"http://opendata.aragon.es/recurso/territorio/Comarca/Valdejalón";"VALDEJALON";
